查询序号,主题词,卡片名,命中结果数,最高分,一级主题,对应主题页,主题页路径,置信度,匹配分,匹配依据,相近主题词,相近卡片,备选主题页,命中词,主要书名,页码,是否有结果,处理建议,Claude检索建议,是否新增主题
1,唯物史观 世界观 学习教育,0001_唯物史观_世界观_学习教育.md,3,32.13,新哲学大众化,思想方法与世界观教育,新哲学大众化/思想方法与世界观教育.md,高,112.0,已列入原主题页重点卡片；命中主题种子词：世界观、学习；主题词重合：世界观,李达 唯物史观 学术贡献(26.67)；唯物史观 谈政治(25.77)；唯物史观 李大钊(25.77)；唯物史观 传播热潮(25.36)；李大钊 唯物史观 研究(25.0),0269_李达_唯物史观_学术贡献.md；0032_唯物史观_谈政治.md；1775_唯物史观_李大钊.md；0064_唯物史观_传播热潮.md；0258_李大钊_唯物史观_研究.md,,唯物史观、世界观,马克思主义哲学史教程；中国马克思主义学术史纲；马克思主义哲学史（第六卷,335；142-146；198-199,是,可按主题页优先检索,先查主题页《思想方法与世界观教育》，再在 T3/T10 中检索：唯物史观|世界观|学习教育,否
2,生产力 生产关系 讨论,0002_生产力_生产关系_讨论.md,3,49.8,理论方法,历史唯物主义体系,理论方法/历史唯物主义体系.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：生产力、生产关系；主题词重合：生产力、生产关系,李达 生产力 生产关系(48.89)；生产力 生产关系 斯大林(47.5)；生产力 生产关系 历史规律(46.36)；唯物史观 生产力 生产关系(46.36)；生产力 生产关系 交互作用(46.36),0316_李达_生产力_生产关系.md；0906_生产力_生产关系_斯大林.md；0016_生产力_生产关系_历史规律.md；0026_唯物史观_生产力_生产关系.md；0044_生产力_生产关系_交互作用.md,,生产力、生产关系、讨论,中国马克思主义学术史纲；马克思主义哲学史；中国现代思想史论,102-104；166-169；194,是,可按主题页优先检索,先查主题页《历史唯物主义体系》，再在 T3/T10 中检索：生产力|生产关系|讨论,否
3,语言学问题 经济基础 上层建筑,0003_语言学问题_经济基础_上层建筑.md,3,51.99,理论方法,历史唯物主义体系,理论方法/历史唯物主义体系.md,高,124.0,已列入原主题页重点卡片；命中主题种子词：经济基础、上层建筑；主题词重合：经济基础、上层建筑,斯大林 语言学问题 经济基础 上层建筑(85.0)；李达 经济基础 上层建筑(52.5)；经济基础 上层建筑 相互作用(50.94)；唯物史观 经济基础 上层建筑(50.94)；经济基础 上层建筑 过渡时期(50.94),0904_斯大林_语言学问题_经济基础_上层建筑.md；0315_李达_经济基础_上层建筑.md；0019_经济基础_上层建筑_相互作用.md；0027_唯物史观_经济基础_上层建筑.md；0641_经济基础_上层建筑_过渡时期.md,,语言学问题、经济基础、上层建筑,百年中国哲学革命；马克思主义哲学史(第五卷)；“哲学上三次大论战”提法不宜继续使用,190-192；504-506；2,是,可按主题页优先检索,先查主题页《历史唯物主义体系》，再在 T3/T10 中检索：语言学问题|经济基础|上层建筑,否
4,唯物史观 起点 唯物辩证法 扩展,0004_唯物史观_起点_唯物辩证法_扩展.md,3,43.53,理论方法,辩证唯物主义体系,理论方法/辩证唯物主义体系.md,高,112.0,已列入原主题页重点卡片；命中主题种子词：唯物辩证法；主题词重合：唯物辩证法,唯物辩证法 风靡 起点(43.93)；唯物辩证法 风靡全国(31.67)；唯物辩证法 风靡 前奏(31.67)；唯物辩证法 风靡 原因(31.67)；逐步改造 唯物辩证法(31.67),1027_唯物辩证法_风靡_起点.md；1026_唯物辩证法_风靡全国.md；1028_唯物辩证法_风靡_前奏.md；1030_唯物辩证法_风靡_原因.md；1052_逐步改造_唯物辩证法.md,,唯物史观、起点、唯物辩证法,马克思主义哲学在中国：传播、应用、形态、前景；马克思主义哲学中国化与中国哲学的现代转型；马克思主义哲学中国化理论与历史,85；283-284；263,是,可按主题页优先检索,先查主题页《辩证唯物主义体系》，再在 T3/T10 中检索：唯物史观|起点|唯物辩证法|扩展,否
5,唯物史观 历史学 研究应用,0005_唯物史观_历史学_研究应用.md,3,36.13,理论方法,唯物史观在中国的传播与应用,理论方法/唯物史观在中国的传播与应用.md,高,122.0,已列入原主题页重点卡片；命中主题种子词：唯物史观；主题词重合：唯物史观；主题域增强：唯物史观、史学,唯物史观 中国哲学史 研究应用(49.38)；李大钊 唯物史观 历史研究(30.71)；吴承仕 国学研究 唯物史观(28.33)；李大钊 唯物史观 研究(27.14)；历史哲学教程 唯物史观(26.67),0714_唯物史观_中国哲学史_研究应用.md；0304_李大钊_唯物史观_历史研究.md；0010_吴承仕_国学研究_唯物史观.md；0258_李大钊_唯物史观_研究.md；0031_历史哲学教程_唯物史观.md,,唯物史观、历史学,马克思主义哲学中国化与中国哲学的现代转型；马克思主义哲学在中国：传播、应用、形态、前景；马克思主义哲学史教程,290-291；302；841-843,是,可按主题页优先检索,先查主题页《唯物史观在中国的传播与应用》，再在 T3/T10 中检索：唯物史观|历史学|研究应用,否
6,郭沫若 中国古代社会研究 唯物史观,0006_郭沫若_中国古代社会研究_唯物史观.md,3,55.65,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,中,36.0,自动主题组匹配：郭沫若、中国古代社会研究、古代社会,吕振羽 史前期中国社会研究 唯物史观(29.52)；吴承仕 国学研究 唯物史观(26.58)；李达 唯物史观 现代社会学(26.58)；中国社会史论战 唯物史观(26.58)；唯物史观 研究 中国传统哲学(26.25),0007_吕振羽_史前期中国社会研究_唯物史观.md；0010_吴承仕_国学研究_唯物史观.md；0314_李达_唯物史观_现代社会学.md；1699_中国社会史论战_唯物史观.md；0042_唯物史观_研究_中国传统哲学.md,,郭沫若、中国古代社会研究、唯物史观,继承五四和扬弃五四；马克思主义哲学中国化理论与历史；冯契文集第七卷中国近代哲学的革命进程,81；293；453,是,可按主题页优先检索,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：郭沫若|中国古代社会研究|唯物史观,否
7,吕振羽 史前期中国社会研究 唯物史观,0007_吕振羽_史前期中国社会研究_唯物史观.md,3,54.6,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,中,20.0,自动主题组匹配：吕振羽、史前期,郭沫若 中国古代社会研究 唯物史观(29.52)；中国社会史论战 唯物史观(27.89)；唯物史观 中国社会改造 方向方法(26.82)；吴承仕 国学研究 唯物史观(26.25)；唯物史观 研究 中国传统哲学(25.95),0006_郭沫若_中国古代社会研究_唯物史观.md；1699_中国社会史论战_唯物史观.md；0011_唯物史观_中国社会改造_方向方法.md；0010_吴承仕_国学研究_唯物史观.md；0042_唯物史观_研究_中国传统哲学.md,,吕振羽、史前期中国社会研究、唯物史观,中国现代思想史论；马克思主义哲学中国化理论与历史；马克思主义哲学在中国：传播、应用、形态、前景,72；202；310-312,是,可按主题页优先检索,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：吕振羽|史前期中国社会研究|唯物史观,否
8,范文澜 中国通史 唯物史观,0008_范文澜_中国通史_唯物史观.md,3,48.68,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,中,23.0,自动主题组匹配：范文澜、中国通史,侯外庐 中国通史 唯物史观(53.46)；翦伯赞 中国通史 唯物史观(53.46)；中国社会史论战 唯物史观(26.25)；唯物史观 中国革命发展战略(25.88)；唯物史观 研究 中国传统哲学(25.88),0009_侯外庐_中国通史_唯物史观.md；0273_翦伯赞_中国通史_唯物史观.md；1699_中国社会史论战_唯物史观.md；0012_唯物史观_中国革命发展战略.md；0042_唯物史观_研究_中国传统哲学.md,,范文澜、中国通史、唯物史观,延安时期知识分子群体与马克思主义哲学大众化郭 - 2015 -；马克思主义哲学在中国：传播、应用、形态、前景；抗战时期重庆马克思主义知识群体“学术中国化”研究特点与启示_于文善,100；312-315；4,是,可按主题页优先检索,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：范文澜|中国通史|唯物史观,否
9,侯外庐 中国通史 唯物史观,0009_侯外庐_中国通史_唯物史观.md,3,50.01,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,中,23.0,自动主题组匹配：侯外庐、中国通史,范文澜 中国通史 唯物史观(53.46)；翦伯赞 中国通史 唯物史观(53.46)；中国社会史论战 唯物史观(26.25)；唯物史观 中国革命发展战略(25.88)；唯物史观 研究 中国传统哲学(25.88),0008_范文澜_中国通史_唯物史观.md；0273_翦伯赞_中国通史_唯物史观.md；1699_中国社会史论战_唯物史观.md；0012_唯物史观_中国革命发展战略.md；0042_唯物史观_研究_中国传统哲学.md,,侯外庐、中国通史、唯物史观,延安时期知识分子群体与马克思主义哲学大众化郭 - 2015 -；马克思主义哲学在中国：传播、应用、形态、前景；抗战时期重庆马克思主义知识群体“学术中国化”研究特点与启示_于文善,143；312-315；4,是,可按主题页优先检索,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：侯外庐|中国通史|唯物史观,否
10,吴承仕 国学研究 唯物史观,0010_吴承仕_国学研究_唯物史观.md,1,42.6,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,中,23.0,自动主题组匹配：吴承仕、国学研究,唯物史观 历史学 研究应用(28.33)；李大钊 唯物史观 研究(27.14)；郭沫若 中国古代社会研究 唯物史观(26.58)；吕振羽 史前期中国社会研究 唯物史观(26.25)；李大钊 唯物史观 历史研究(26.25),0005_唯物史观_历史学_研究应用.md；0258_李大钊_唯物史观_研究.md；0006_郭沫若_中国古代社会研究_唯物史观.md；0007_吕振羽_史前期中国社会研究_唯物史观.md；0304_李大钊_唯物史观_历史研究.md,,吴承仕、国学研究、唯物史观,马克思主义哲学在中国：传播、应用、形态、前景,318-320,是,可按主题页优先检索,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：吴承仕|国学研究|唯物史观,否
